날짜,종목코드,시가총액,상장주식수
2018-01-11,011170,13127485477000,34275419
2018-01-11,011200,1406244279770,311805827
2018-01-11,012330,24433309613000,97343863
2018-01-11,012450,1825220000000,52600000
2018-01-11,015760,23560081625900,641964077
2018-01-11,017670,21680223403500,80745711
2018-01-11,018260,19267072200000,77377800
2018-01-11,021240,7324694045900,74818121
2018-01-11,024110,9575637736500,559978815
2018-01-11,028260,25133930697500,189690043
2018-01-11,029780,4391051968900,115858891
2018-01-11,030200,7833354240000,261111808
2018-01-11,032830,24800000000000,200000000
2018-01-11,033780,14484358433500,137292497
2018-01-11,034730,20087864793500,70360297
2018-01-11,035420,30226776643000,32962679
2018-01-11,035720,9541148043500,67908527
2018-01-11,036570,9367962394000,21939022
2018-01-11,042660,1695834979200,106656288
2018-01-11,047050,2547696826850,123375149
2018-01-11,047810,4664183869950,97475107
2018-01-11,051900,19522746250000,15618197
2018-01-11,051910,29754672574500,70592343
2018-01-11,052690,909636000000,38220000
2018-01-11,055550,24658378524000,474199587
2018-01-11,058470,850524246000,15242370
2018-01-11,064350,1589500000000,85000000
2018-01-11,066570,18083083447000,163647814
2018-01-11,068270,37658592168000,122666424
2018-01-11,069960,2480658746000,23402441
2018-01-11,071050,4274183586400,55725992
2018-01-11,078930,5946584192000,92915378
2018-01-11,086790,16309768716200,296003062
2018-01-11,088350,6218674800000,868530000
2018-01-11,090430,17975985675000,58458490
2018-01-11,093370,937857492950,92399753
2018-01-11,096770,18539345582000,92465564
2018-01-11,097950,5165285216000,13176748
2018-01-11,105560,28306151054900,418111537
2018-01-11,111770,1380302228200,44311468
2018-01-11,120110,2036327667600,25549908
2018-01-11,128940,6530619420000,11163452
2018-01-11,138040,2179008724500,142885818
2018-01-11,139480,7693726044000,27875819
2018-01-11,161390,6850291315700,123875069
2018-01-11,185750,1378425825000,9409050
2018-01-11,207940,26267505000000,66165000
2018-01-11,214370,932492400000,10743000
2018-01-11,241560,3583907684500,100249166
2018-01-11,251270,14114379910000,85026385
2018-01-11,267250,7369694192500,16286617
2018-01-11,267260,1229796851500,10205783
